Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,ReportDate,OffenseCount
400 BLOCK OF S HAMILTON CT,21-64217,Property,South Portland,3/9/2021,2030,Larceny Offenses,Theft From Motor Vehicle,45.489901932,-122.672156559,3/10/2021,1
400 BLOCK OF S HAMILTON CT,21-902077,Property,South Portland,1/30/2021,1045,Larceny Offenses,Theft From Motor Vehicle,45.489901932,-122.672156559,1/30/2021,1
400 BLOCK OF S HAMILTON CT,21-903884,Property,South Portland,2/27/2021,2325,Larceny Offenses,Theft From Motor Vehicle,45.489901932,-122.672156559,2/28/2021,1
400 BLOCK OF SE 3RD AVE,21-71879,Property,Buckman West,3/17/2021,1512,Motor Vehicle Theft,Motor Vehicle Theft,45.519728969,-122.662822219,3/17/2021,1
400 BLOCK OF SE 12TH AVE,21-55020,Property,Buckman East,2/26/2021,1630,Motor Vehicle Theft,Motor Vehicle Theft,45.519697035,-122.653567272,3/1/2021,1
400 BLOCK OF SE 14TH AVE,21-50050,Property,Buckman East,2/22/2021,1930,Motor Vehicle Theft,Motor Vehicle Theft,45.519691567,-122.651662463,2/23/2021,1
400 BLOCK OF SE 30TH AVE,21-900085,Property,Kerns,1/2/2021,1900,Larceny Offenses,All Other Larceny,45.519646958,-122.634933123,1/3/2021,1
400 BLOCK OF SE 30TH AVE,21-900861,Property,Kerns,1/14/2021,1800,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.519646958,-122.634933123,1/15/2021,1
400 BLOCK OF SE 33RD AVE,21-903165,Property,Laurelhurst,2/16/2021,0930,Larceny Offenses,All Other Larceny,45.519799239,-122.630868171,2/19/2021,1
400 BLOCK OF SE 53RD AVE,21-905489,Property,Mt Tabor,3/22/2021,0300,Larceny Offenses,Theft From Motor Vehicle,45.519622086,-122.608794942,3/22/2021,1
400 BLOCK OF SE 53RD AVE,21-906140,Property,Mt Tabor,3/25/2021,2200,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.519622537,-122.608919848,3/31/2021,1
400 BLOCK OF SE 74TH AVE,21-13509,Property,Mt Tabor,1/15/2021,0641,Motor Vehicle Theft,Motor Vehicle Theft,45.519455019,-122.586839462,1/15/2021,1
400 BLOCK OF SE 82ND AVE,21-14374,Property,Montavilla,1/16/2021,0517,Burglary,Burglary,45.519465385,-122.579003082,1/16/2021,1
400 BLOCK OF SE 122ND AVE,21-38545,Property,Hazelwood,2/11/2021,1018,Fraud Offenses,False Pretenses/Swindle/Confidence Game,45.519365476,-122.537716324,2/11/2021,1
400 BLOCK OF SE 122ND AVE,21-40835,Property,Hazelwood,2/14/2021,0544,Vandalism,Vandalism,45.519365476,-122.537716324,2/14/2021,1
400 BLOCK OF SE 122ND AVE,21-53003,Property,Hazelwood,2/27/2021,0528,Burglary,Burglary,45.519365476,-122.537716324,2/27/2021,1
400 BLOCK OF SE 122ND AVE,21-78912,Property,Hazelwood,3/24/2021,1642,Fraud Offenses,False Pretenses/Swindle/Confidence Game,45.519365476,-122.537716324,3/24/2021,1
400 BLOCK OF SE 127TH AVE,21-36861,Person,Hazelwood,2/9/2021,1502,Assault Offenses,Intimidation,45.519429729,-122.532539737,2/9/2021,1
400 BLOCK OF SE 127TH AVE,21-86161,Property,Hazelwood,3/31/2021,2341,Vandalism,Vandalism,45.519429729,-122.532539737,3/31/2021,1
400 BLOCK OF SE 139TH AVE,21-65919,Property,Hazelwood,3/11/2021,1746,Larceny Offenses,All Other Larceny,45.519543780,-122.520941075,3/11/2021,1
400 BLOCK OF SE 153RD AVE,21-32888,Property,Glenfair,2/5/2021,1159,Burglary,Burglary,45.519449738,-122.506111435,2/5/2021,1
400 BLOCK OF SE 157TH AVE,21-79007,Property,Glenfair,3/23/2021,1717,Larceny Offenses,All Other Larceny,45.519561950,-122.501564875,3/24/2021,1
400 BLOCK OF SE 160TH AVE,21-56078,Property,Glenfair,3/2/2021,0958,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.519464622,-122.499118374,3/2/2021,1
400 BLOCK OF SE GRAND AVE,21-10030,Property,Buckman West,1/11/2021,1300,Burglary,Burglary,45.519720123,-122.660667488,1/11/2021,1
400 BLOCK OF SE GRAND AVE,21-10240,Property,Buckman West,1/12/2021,0352,Burglary,Burglary,45.519720123,-122.660667488,1/12/2021,1
400 BLOCK OF SE GRAND AVE,21-21288,Property,Buckman West,1/23/2021,1837,Burglary,Burglary,45.519720123,-122.660667488,1/23/2021,1
400 BLOCK OF SE GRAND AVE,21-72946,Person,Buckman West,3/18/2021,1810,Assault Offenses,Aggravated Assault,45.519720123,-122.660667488,3/18/2021,1
